Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
			
SIRT1	10	67884656	67918390
			
AMDHD2	16	2520357	2531422
			
LINC01741	1	177700524	177712275
			
LINC01724	1	196044883	196065235
			
TEX264	3	51662693	51704323
			
TNN	1	175067833	175148075
			
TRIM36	5	115124762	115180546
			
LRIG3	12	58872149	58920504
			
	17	8056225	8057621
			
ALOXE3P1	17	8063936	8072533
			
RPS3AP38	10	67960702	67961464
			
RN7SL220P	10	68007718	68008017
			
POU5F1P5	10	68010205	68010862
			
ALOX12B	17	8072636	8087716
			
DNAJB12	10	72332830	72355149
			
NCOA4P2	4	88508591	88510403
			
PYURF	4	88520998	88523776
			
PIGY	4	88520998	88523776
			
PIGY-DT	4	88523826	88524983
			
	4	88527160	88528170
			
RN7SKP244	4	88583666	88583972
			
PDE6B	4	625573	670782
			
	1	193473224	194198708
			
CDV3	3	133573686	133590261
			
FMO4	1	171314183	171342084
			
KLF14	7	130730697	130734207
			
KCTD7	7	66628881	66649067
			
	17	8079482	8081565
			
ABLIM3	5	149141483	149260542
			
MIR4314	17	8088056	8088147
			
DUSP13	10	75094432	75109221
			
HES7	17	8120592	8124106
			
PER1	17	8140472	8156506
			
PROX1-AS1	1	213817751	213988508
			
BHLHA15	7	98211439	98215457
			
SMURF1	7	99027440	99144108
			
ZNF385A	12	54369133	54391298
			
NOD2	16	50693588	50734041
			
	1	157287267	157310655
			
RPL22P24	1	185171335	185171710
			
	1	243164638	243169445
			
ZIC4	3	147386046	147406809
			
	1	162560227	162561308
			
NSL1	1	212726153	212791782
			
	19	18907013	18934397
			
DDX49	19	18919705	18929189
			
ABCC11	16	48165773	48247568
			
	1	210678315	210681932
			
	1	188671353	188671759
			
RNASE3	14	20891385	20892348
			
MTCYBP15	1	237948017	237949143
			
SORCS1	10	106573663	107164706
			
TRAV6	14	21768489	21769080
			
HFM1	1	91260766	91404856
			
TRAV7	14	21782993	21783503
			
TRAV8-1	14	21797287	21797886
			
TRAV9-1	14	21811502	21811977
			
TRAV10	14	21825472	21826075
			
TRAV11	14	21829539	21830070
			
SP8	7	20782279	20786886
			
TRAV12-1	14	21841240	21841774
			
TRAV8-2	14	21846537	21847221
			
TRAV8-3	14	21852558	21853006
			
TRAV13-1	14	21868839	21869365
			
GRXCR1	4	42892713	43030658
			
TRAV12-2	14	21887857	21888502
			
CCZ1B	7	6794134	6826770
			
TRAV8-4	14	21894433	21895030
			
TRAV8-5	14	21903077	21904598
			
TRAV13-2	14	21918188	21918756
			
GRIA2	4	157204182	157366075
			
TRAV14DV4	14	21924063	21924651
			
TRAV9-2	14	21941128	21941657
			
TRAV15	14	21950406	21950654
			
CD163L1	12	7346685	7479897
			
	14	21962819	21963042
			
TRAV12-3	14	21965451	21966061
			
TRAV8-6	14	21978459	21979120
			
TRAV16	14	21990496	21990938
			
TRAV17	14	21997539	21998168
			
TRAV18	14	22003106	22003673
			
TRAV19	14	22007512	22008181
			
	14	22011910	22014964
			
TRAV20	14	22040594	22041153
			
TRAV21	14	22052514	22053056
			
	14	22066016	22066373
			
STIMATE	3	52836219	52897548
			
TRAV22	14	22070557	22071208
			
ATP5MG	11	118401606	118431496
			
DCTN4	5	150708440	150759095
			
TRAV23DV6	14	22086407	22086961
			
TRDV1	14	22096032	22096619
			
TRAV24	14	22105343	22105846
			
TRAV25	14	22112347	22113031
			
TRAV26-1	14	22123318	22124285
			
TRAV8-7	14	22132553	22133034
			
TRAV27	14	22147995	22148633
			
THPO	3	184371935	184381968
			
TRAV28	14	22155079	22155638
			
TRAV29DV5	14	22163238	22163870
			
TRAV30	14	22168429	22168988
			
TRAV31	14	22177273	22177864
			
TRAV32	14	22185562	22186057
			
TRAV33	14	22190158	22190713
			
TRAV26-2	14	22202583	22203368
			
POGLUT3	11	108472112	108498384
			
TRAV34	14	22207522	22208129
			
TRAV35	14	22221896	22222475
			
FBXL15	10	102419189	102423136
			
TRAV36DV7	14	22226746	22227254
			
TRAV37	14	22265749	22266264
			
TRAV38-1	14	22271968	22272563
			
TRAV38-2DV8	14	22281105	22281748
			
TRAV39	14	22304054	22304553
			
TRAV40	14	22314490	22314919
			
TRAV41	14	22320188	22320691
			
SH2D4B	10	80537902	80646560
			
IGHG1	14	105736343	105743071
			
MIR6883	17	8144994	8145071
			
	17	8150816	8162975
			
VAMP2	17	8159149	8163546
			
IGHG3	14	105764503	105771405
			
ANTXRL	10	46286345	46330207
			
ATP6V1G1P1	14	105785505	105785831
			
IGHD	14	105836765	105845677
			
BAD	11	64269830	64284704
			
RFX4	12	106583004	106762803
			
MMD2	7	4905989	4959213
			
IGHM	14	105851705	105856218
			
HOMER3	19	18929201	18941261
			
TMEM107	17	8172457	8176399
			
OR2T32P	1	248083522	248087522
			
MIR4539	14	105857513	105857572
			
MIR4507	14	105858124	105858175
			
MIR4538	14	105858165	105858242
			
MIR4537	14	105859484	105859553
			
	1	203353365	203353651
			
IGHJ6	14	105863198	105863258
			
IGHJ3P	14	105863416	105863465
			
IGHJ5	14	105863814	105863862
			
ATP1A4	1	160151586	160186980
			
IGHJ4	14	105864215	105864260
			
IGHJ3	14	105864587	105864635
			
IGHJ2P	14	105864793	105864852
			
	10	47744717	47763592
			
IGHJ2	14	105865199	105865250
			
IGHJ1	14	105865407	105865458
			
IGHD7-27	14	105865551	105865561
			
ESRRA	11	64305497	64316743
			
IGHJ1P	14	105865624	105865678
			
NMD3	3	161104696	161253532
			
IGHD1-26	14	105881034	105881053
			
IGHD6-25	14	105881539	105881556
			
IGHD5-24	14	105883903	105883922
			
IGHD4-23	14	105884870	105884888
			
IGHD3-22	14	105886031	105886061
			
IGHD2-21	14	105888551	105888578
			
	14	105890084	105896577
			
SNORD118	17	8173454	8173587
			
IGHD1-20	14	105891191	105891207
			
	17	8176812	8182812
			
IGHD6-19	14	105891699	105891719
			
AGAP5	10	73674287	73698109
			
MIR4521	17	8186945	8187004
			
IGHD5-18	14	105893542	105893561
			
BORCS6	17	8188345	8190180
			
IGHD4-17	14	105894508	105894523
			
IGHD3-16	14	105895634	105895670
			
	17	8188933	8189688
			
IGHD2-15	14	105897957	105897987
			
	2	228378500	228379773
			
IGHD1-14	14	105900638	105900654
			
	17	8199123	8199437
			
	2	216866332	216867813
			
IGHD6-13	14	105901142	105901162
			
IGHD5-12	14	105902649	105902671
			
IGHD4-11	14	105903616	105903631
			
AURKB	17	8204733	8210600
			
CRYGEP	2	208108233	208112511
			
IGHD3-10	14	105904497	105904527
			
IGHD3-9	14	105904681	105904711
			
IGHD2-8	14	105907211	105907241
			
IGHD1-7	14	105909907	105909923
			
SEPHS1P7	2	114260050	114261226
			
IGHD6-6	14	105910410	105910427
			
IGHD5-5	14	105912257	105912276
			
IGHD4-4	14	105913222	105913237
			
	2	236733289	236754363
			
RAPGEF5	7	22118236	22357154
			
IGHD3-3	14	105914359	105914389
			
IGHD2-2	14	105916826	105916856
			
FAM30A	14	105917979	105932642
			
MTND5P22	2	124680722	124680916
			
FBXL19	16	30923055	30948783
			
RNF11P1	2	189930277	189931010
			
GCSIR	2	230886474	230904693
			
	2	219904983	219912834
			
RNF145	5	159157409	159210053
			
	2	215178791	215310947
			
IGHD1-1	14	105919502	105919518
			
IGHV6-1	14	105939756	105940253
			
MARCHF4	2	216257865	216372483
			
IGHVII-1-1	14	105945210	105945389
			
LBX1	10	101226994	101229463
			
ADAM6	14	105969729	105972269
			
FAM25G	10	47487219	47491700
			
	14	105978520	105979146
			
IGHV1-2	14	105986582	105987083
			
IGHVIII-2-1	14	106001534	106001824
			
IGHV1-3	14	106005095	106005574
			
PLEKHM3	2	207821288	208025527
			
	10	122672850	122679494
			
ODAD2P1	10	27258762	27288824
			
IGHV4-4	14	106011922	106012420
			
LINC02680	10	27564430	27594588
			
IGHV7-4-1	14	106025145	106025630
			
C10orf90	10	126424997	126798708
			
IGHV2-5	14	106037902	106038365
			
MORF4L1P7	1	176367699	176368401
			
MCRIP2P2	1	185435839	185436047
			
	11	88165575	88167691
			
IGHVIII-5-1	14	106039666	106039764
			
LINC00538	1	213924749	213926654
			
MIR3166	11	88176502	88176593
			
IGHVIII-5-2	14	106045600	106045860
			
GAPDHP70	11	88408179	88409223
			
	1	157629939	157630728
			
IGHV3-6	14	106055549	106055998
			
GALNT2	1	230057990	230282122
			
	11	88422400	88428176
			
IGHV3-7	14	106062151	106062683
			
GRM5-AS1	11	88504576	88524054
			
RNA5SP389	14	106636672	106636786
			
IGHVII-60-1	14	106637718	106637973
			
IGHV4-61	14	106639119	106639657
			
IGHV3-62	14	106643142	106643585
			
IGHVII-62-1	14	106650551	106650785
			
IGHV3-63	14	106652237	106652681
			
IGHV3-64	14	106657725	106658258
			
IGHV3-65	14	106666092	106666532
			
CTSC	11	88265069	88359684
			
IGHVII-65-1	14	106671772	106672073
			
IGHV3-66	14	106675017	106675544
			
	2	183897950	183902147
			
IGHV1-67	14	106680603	106681042
			
SLC20A1P1	14	106683395	106684350
			
LINC00607	2	215611563	215848954
			
IGHVII-67-1	14	106686517	106686562
			
IGHVIII-67-2	14	106687113	106687200
			
IGHVIII-67-3	14	106692657	106692888
			
IGHVIII-67-4	14	106695102	106695397
			
IGHV1-68	14	106703846	106704286
			
IGHV1-69	14	106714684	106715181
			
IGHV2-70D	14	106723574	106724093
			
LINC01132	1	234724042	234736720
			
IGHV3-69-1	14	106728163	106728615
			
IGHV1-69-2	14	106737110	106737547
			
	1	234607008	234609483
			
	14	106750289	106750594
			
IGHV1-69D	14	106762092	106762588
			
IGHV2-70	14	106770577	106771020
			
FMO1	1	171248471	171285978
			
IGHV3-71	14	106775157	106775618
			
IGHV3-72	14	106790694	106791233
			
BCL7C	16	30833626	30894302
			
P4HA1	10	73007217	73096974
			
IGHV3-73	14	106802694	106803233
			
RNA5SP227	7	22298594	22298706
			
EEF1A1P6	7	22510616	22511999
			
TGFB1	19	41301587	41353922
			
IGHV3-74	14	106810442	106811131
			
IGHVII-74-1	14	106821174	106821414
			
IGHV3-75	14	106823687	106824147
			
	7	22563337	22573996
			
IGHV3-76	14	106827869	106828163
			
IGHVIII-76-1	14	106831767	106832052
			
MIR5195	14	106850885	106850999
			
IGHV5-78	14	106851123	106851417
			
IGHVII-78-1	14	106865627	106865895
			
IGHV3-79	14	106867660	106868092
			
	7	22589698	22602536
			
IGHV4-80	14	106872783	106873186
			
IL6-AS1	7	22725395	22727620
			
IGHV7-81	14	106874583	106875071
			
	2	234803808	234913384
			
IL6	7	22725884	22732002
			
PRKCSH	19	11435284	11450968
			
IGHVIII-82	14	106879563	106879812
			
MIPOL1	14	37197913	37552361
			
	2	238454908	238457520
			
TPCN1	12	113221050	113298585
			
DPP10-AS3	2	114828432	114833548
			
LINC01803	2	219903900	219904923
			
	2	216868012	216869156
			
	2	220048822	220049272
			
ARHGEF3	3	56727418	57079329
			
	2	216870441	216873932
			
CCNT2	2	134918235	134959342
			
MYOZ3	5	150660882	150679368
			
RNF40	16	30761745	30776307
			
TMPRSS11A	4	67909395	67964140
			
	1	200478020	200483604
			
	1	248708202	248708641
			
	1	193678894	193727035
			
SPRTN	1	231337104	231355023
			
DUSP8	11	1554051	1572271
			
	8	1726273	1726557
			
	8	1730206	1731452
			
CLN8	8	1755778	1801711
			
LINC00324	17	8220642	8224043
			
KRTAP5-AS1	11	1571353	1599184
			
MTCYBP42	7	22747675	22748804
			
GASK1B	4	158124474	158173318
			
RPL26L1	5	172958729	172969771
			
	7	22773646	22773993
			
	7	22822954	22833430
			
KRTAP5-1	11	1584342	1585283
			
CTC1	17	8224815	8248056
			
SNHG26	7	22854126	22872945
			
KRTAP5-2	11	1597177	1598294
			
	1	180970837	180971247
			
KRTAP5-3	11	1607565	1608463
			
	1	171755803	171756323
			
KRTAP5-4	11	1620958	1622138
			
EGLN1	1	231363751	231422287
			
KRTAP5-5	11	1629775	1630707
			
	11	1662584	1663343
			
FAM99A	11	1665597	1667856
			
FAM99B	11	1683269	1685629
			
LINC02708	11	1688297	1689056
			
KRTAP5-6	11	1697195	1697755
			
IFITM10	11	1732406	1750595
			
	7	22863874	22881350
			
ADAM12	10	126012381	126388477
			
SNORD93	7	22856613	22856686
			
RPL12P10	7	22881893	22882390
			
	8	1758208	1760447
			
	8	1761054	1764508
			
TMEM161B	5	88189633	88269476
			
ACHE	7	100889994	100896974
			
KBTBD11-OT1	8	1763888	1958627
			
	11	1734821	1763954
			
IQCA1	2	236324147	236507535
			
MIR3674	8	1801125	1801192
			
	8	1810823	1817113
			
MIR596	8	1817231	1817307
			
	1	202438396	202439957
			
ARHGEF10	8	1823926	1958641
			
YPEL5P1	1	182182730	182183096
			
PP2672	1	234757619	234760056
			
ZC3H11B	1	219608010	219613145
			
RPL5P5	1	185226808	185227700
			
	1	188869474	188888540
			
CPEB2	4	15002481	15070153
			
	11	1760348	1762486
			
FCRL1	1	157794403	157820120
			
	11	1763009	1763749
			
	11	1773745	1774903
			
	11	1776930	1778388
			
CTSD	11	1752752	1764573
			
MADCAM1-AS1	19	490046	507833
			
TPGS1	19	507497	519654
			
CUX1	7	101815904	102283958
			
CDC34	19	531760	542092
			
PFAS	17	8247618	8270491
			
WNT9A	1	227918656	227947932
			
	2	193170704	193172765
			
BOK-AS1	2	241544403	241558977
			
GNG4	1	235547685	235650754
			
SYNE3	14	95407266	95516650
			
BAZ2B	2	159318979	159616569
			
GZMM	19	544034	549924
			
TGFB2-OT1	1	218442626	218443996
			
TUBB8P10	1	227493029	227495142
			
LINC00184	1	234629311	234634780
			
C1orf220	1	178542752	178548889
			
TXNDC11	16	11679083	11742857
			
QRSL1P2	1	222261833	222262796
			
PAPPA2	1	176463171	176845601
			
	19	2700689	2701266
			
DIRAS1	19	2714567	2721372
			
	19	2717769	2740048
			
	19	2721710	2724517
			
	19	2727743	2729327
			
SLC39A3	19	2732204	2740028
			
	15	82691723	82692358
			
	15	82710471	82714029
			
SGTA	19	2754715	2783362
			
ACTG1P17	15	82725873	82738904
			
MSRB1	16	1938229	1943293
			
	15	82738386	82739122
			
	15	82744223	82750289
			
	15	82749252	82750455
			
SNHG21	15	82750564	82757206
			
	15	82752884	82757208
			
FSD2	15	82755362	82806070
			
NPHS2	1	179550539	179575952
			
SLC22A17	14	23346306	23352912
			
NMRAL1	16	4461691	4495763
			
	17	8277763	8278436
			
F12	5	177402141	177409564
			
SLC25A35	17	8287763	8295400
			
LINC02608	1	212225278	212238977
			
ZNF487	10	43436841	43483181
			
CISH	3	50606489	50611774
			
	11	66432763	66432902
			
MRPL11	11	66435075	66466738
			
TSNAX-DISC1	1	231528653	231819244
			
RNF13	3	149812770	149962139
			
BMP3	4	81030708	81057627
			
FRG2	4	190024367	190027257
			
ANKRD30A	10	37125598	37232567
			
MIER3	5	56919602	56971675
			
	8	1957921	1963131
			
RANGRF	17	8288654	8290092
			
	8	1971153	1974637
			
SELPLG	12	108621895	108633894
			
SSPN	12	26121991	26299290
			
KBTBD11-OT1	8	1971397	1976478
			
KBTBD11	8	1973677	2006936
			
HSPA2	14	64535905	64546173
			
	8	1974818	1975314
			
	8	2033508	2035587
			
HAUS3	4	2078998	2242276
			
LRRC74A	14	76826372	76870302
			
MYOM2	8	2045046	2165552
			
SCARNA15	15	82755945	82756071
			
WHAMM	15	82809628	82836108
			
	11	66454234	66454581
			
CNGA3	2	98346188	98398601
			
PELI3	11	66466327	66477337
			
	17	8296505	8297216
			
SENP8	15	72114258	72143692
			
ARHGEF15	17	8310241	8322514
			
LIPK	10	88706249	88752776
			
CORO1C	12	108645109	108731526
			
HAGHL	16	726936	735525
			
	15	72134641	72135436
			
ZFYVE27	10	97737121	97760907
			
	1	167820406	167821224
			
	15	72140504	72155459
			
	1	232160091	232185643
			
GRAMD2A	15	72159806	72197787
			
LINC00626	1	168784012	168792886
			
PROX2	14	74852871	74876154
			
	1	245673732	245676478
			
LINC02773	1	212653305	212665638
			
CREB1	2	207529737	207605988
			
CLPTM1LP1	1	189035961	189036444
			
SIPA1L1	14	71320449	71741229
			
CCDC149	4	24806117	24980204
			
LEMD1-AS1	1	205373252	205387440
			
GOT2P2	1	173141100	173142350
			
LRRN2	1	204617170	204685738
			
	17	8318088	8318712
			
	17	8329583	8329719
			
	17	8337697	8338758
			
ODF4	17	8339840	8346048
			
	1	182328497	182329007
			
	1	211715928	211725402
			
	1	185518651	185520986
			
	1	234644666	234647571
			
	1	231339421	231339558
			
	1	193684246	193688429
			
	1	171083565	171085205
			
	1	162593103	162593754
			
	17	8365563	8381328
			
	1	185262286	185264356
			
	1	231767464	231847706
			
	17	8368638	8383187
			
	11	66473490	66480233
			
RPL26	17	8377516	8383213
			
PPP2R5A	1	212285410	212361853
			
CCNJL	5	160249083	160345396
			
DPP3	11	66480013	66509657
			
IQCM	4	149351709	149896233
			
THOP1	19	2785503	2815807
			
PKM	15	72199029	72231822
			
SH3D19	4	151102751	151325605
			
CMTM1	16	66566393	66579137
			
TNIP1	5	151029945	151093577
			
MIR7160	8	2076589	2076640
			
	8	2130550	2134880
			
TPD52	8	80034745	80231232
			
NKIRAS1	3	23889951	23946591
			
RNF222	17	8390704	8397826
			
DDR2	1	162631373	162787405
			
MYH10	17	8474207	8630761
			
MPP7	10	28050993	28334486
			
AQP2	12	49950737	49958878
			
STXBP5L	3	120908072	121424761
			
WSB2	12	118032687	118062430
			
ZNF554	19	2819868	2836735
			
SORBS1	10	95311771	95561414
			
	2	70687142	70691824
			
ZNF555	19	2841437	2860471
			
	2	184049467	184187573
			
NOXO1	16	1978917	1984192
			
	2	216259595	216266130
			
CATIP-AS1	2	218366665	218367835
			
	2	145572662	145765726
			
MSTN	2	190055700	190062729
			
MTATP6P26	2	120211054	120211715
			
H3P9	2	208466238	208466626
			
RPRM	2	153477338	153478762
			
	2	208135394	208137697
			
CRYGC	2	208128137	208129828
			
	19	2847227	2858716
			
	19	2862270	2864428
			
ZNF556	19	2867335	2883445
			
CICP26	1	227975390	227978193
			
	1	234811052	234932653
			
	2	215869923	215870518
			
CCDC181	1	169394870	169460669
			
INPP5D	2	233059967	233207903
			
	19	2874950	2875592
			
KEAP1	19	10486125	10503558
			
PDE3A	12	20368537	20688583
			
ZBTB1	14	64503712	64533690
			
TRIM9	14	50975262	51096061
			
	1	230258694	230272100
			
	1	232174932	232180113
			
	1	242203555	242210827
			
OPTC	1	203494153	203508949
			
ATP8A1	4	42408373	42657105
			
	19	10490339	10491000
			
S1PR5	19	10512742	10517931
			
C1orf100	1	244352635	244389663
			
ATG4D	19	10543895	10553418
			
	16	68573782	68589512
			
	16	68591382	68594424
			
	16	68630223	68630354
			
	16	68630851	68630968
			
CDH3	16	68636189	68727468
			
CPNE6	14	24070837	24078100
			
SUCO	1	172532349	172611833
			
MED13L	12	115957905	116277693
			
	11	66509079	66533613
			
RYK	3	134065303	134250859
			
BBS1	11	66510606	66533613
			
PARP6	15	72241181	72272999
			
MYBL1	8	66562175	66614247
			
HEMK1	3	50569152	50596168
			
TOMM7	7	22812628	22822852
			
RNU7-140P	19	10551033	10551092
			
MIR1238	19	10552122	10552204
			
KRI1	19	10553085	10566031
			
	16	68644248	68646168
			
	16	68651056	68651948
			
HSPE1P5	16	68686399	68686670
			
CDH1	16	68737292	68835537
			
STEAP1B	7	22419444	22727613
			
RNU7-43P	17	8511125	8511188
			
PPIAP52	17	8560471	8560962
			
	17	8561230	8561576
			
CCDC42	17	8729935	8745219
			
MFSD6L	17	8797110	8799365
			
PIK3R6	17	8802722	8867677
			
SYPL1	7	106090505	106112576
			
SIDT1	3	113532555	113629575
			
OR4K17	14	20110739	20122199
			
CDH24	14	23047062	23057538
			
SLC35F5	2	113705011	113756693
			
SORBS3	8	22544986	22575788
			
DCAF13P1	7	106125371	106126700
			
RNU6-392P	7	106208167	106208267
			
	7	106285480	106286326
			
LARP1BP2	7	106315225	106315743
			
PIK3R5-DT	17	8965896	8967070
			
	17	8967523	8976995
			
NTN1	17	9021510	9244000
			
HDAC9	7	18086949	19002416
			
CCDC14	3	123897305	123961408
			
HIF1A-AS1	14	61681041	61695823
			
HIF1A	14	61695513	61748259
			
	17	9171068	9179118
			
OCIAD1	4	48805212	48861817
			
	17	9244666	9244897
			
STX8	17	9250471	9576591
			
CDKN2D	19	10566460	10569059
			
AP1M2	19	10572671	10587315
			
	17	9283174	9305651
			
	17	9452197	9470014
			
	17	9464742	9467422
			
	2	21638068	21649572
			
	17	9547298	9548541
			
	17	9553323	9555696
			
CFAP52	17	9576627	9643447
			
LINC01614	2	215718043	215719424
			
	2	170820066	170821295
			
DAZAP2P1	2	202201384	202201886
			
EPHA4	2	221418027	221574202
			
MTND6P15	1	237949214	237949734
			
	1	190264898	190362270
			
	1	200315435	200315967
			
ATF3	1	212565334	212620777
			
RNA5SP429	16	68742480	68742588
			
	16	68814330	68823526
			
FTLP14	16	68822587	68823070
			
Y_RNA	16	68885576	68885677
			
	19	10598001	10598965
			
	16	20155648	20158391
			
	16	20208925	20209525
			
SNRPEP3	16	20238972	20239247
			
SLC44A2	19	10602457	10644557
			
KLRC1	12	10442264	10454685
			
GP2	16	20309574	20327808
			
CYB561D2	3	50350845	50358460
			
RPL19P18	17	9589902	9590482
			
	17	9638768	9645325
			
	11	66514306	66519720
			
ZDHHC24	11	66520637	66546235
			
USP43	17	9644698	9729687
			
	1	162039016	162039567
			
RNASEL	1	182573634	182589256
			
C3orf52	3	112086335	112131004
			
ACTN3	11	66546395	66563334
			
OR2L1P	1	247980872	247991204
			
	1	221549362	221554314
			
	1	234957231	234959989
			
PLXNA2	1	208022242	208244384
			
C12orf77	12	24993424	25006403
			
PRR20G	3	127283783	127288046
			
CCDC80	3	112596797	112649530
			
SLC30A8	8	116950273	117176714
			
HIF1A-AS3	14	61707564	61751099
			
	14	61734138	61776260
			
CENPUP2	12	25092715	25093900
			
SNAPC1	14	61762420	61796428
			
	12	25096868	25100980
			
	12	25103124	25103869
			
CFAP94	12	25108289	25195162
			
	17	9647020	9647660
			
	17	9764186	9805100
			
	17	9791227	9808855
			
GSG1L2	17	9802386	9822071
			
	17	9805443	9811047
			
GLP2R	17	9822206	9892099
			
	14	61801713	61803634
			
ILF3-DT	19	10651862	10653844
			
SYT16	14	61811974	62112550
			
	2	216303325	216321737
			
THAP4	2	241584405	241637158
			
ILF3	19	10654261	10692417
			
COX4I1P1	14	61831861	61832369
			
	14	62069518	62081154
			
	14	62103122	62117175
			
LINC00643	14	62114353	62130962
			
USP17L2	8	12136435	12138849
			
LY6L	8	143080630	143083486
			
DEFB135	8	11982256	11984590
			
ADCY5	3	123282296	123449090
			
DEFB106B	8	7482504	7486400
			
LINC00644	14	62134149	62139973
			
	14	62150656	62152258
			
	11	66558866	66560384
			
DEFA1	8	6977649	6980092
			
	11	47323983	47324181
			
MYBPC3	11	47331406	47352702
			
SPAG11B	8	7442684	7463674
			
	15	72266746	72319946
			
KRT18P12	1	214532195	214533467
			
SPATA45	1	212830141	212847649
			
	15	72278867	72351794
			
	1	205134646	205134950
			
UMOD	16	20333051	20356301
			
PLA2G4A	1	186828949	186988981
			
CELF6	15	72284727	72320157
			
CYP4F32P	2	94759259	94760279
			
LINC01087	2	131637025	131649615
			
	2	170814686	170818037
			
NPM1P45	17	9852748	9853306
			
RCVRN	17	9896320	9905271
			
TMEM256P2	2	221532668	221533008
			
B3GNT2	2	62196115	62224731
			
	2	208469850	208540413
			
RPS27AP1	17	10258762	10259232
			
	17	10291820	10317926
			
MYH13	17	10300865	10373130
			
TMBIM1	2	218274197	218292586
			
DEFB105A	8	7821004	7823880
			
EIF1P3	1	182336001	182336334
			
	1	242345558	242345718
			
TOP1P1	1	171339299	171339959
			
RPS3AP9	1	188694320	188695111
			
	1	232221938	232222174
			
PRR23D1	8	7539627	7542450
			
LINC02869	1	218459265	218525978
			
DEFA1B	8	6996766	6999198
			
	1	178651706	178652282
			
	1	185280844	185281816
			
PTPRVP	1	202168051	202189455
			
ZNF596	8	232137	264703
			
ZNF148	3	125225669	125375325
			
	15	72284727	72375981
			
HEXA-AS1	15	72376113	72378788
			
RPL12P35	15	72379215	72379710
			
PDILT	16	20359175	20404737
			
ARID3B	15	74541206	74598131
			
	1	212299495	212331713
			
ETNK2	1	204131062	204152044
			
	17	10320392	10341458
			
	16	20385957	20391164
			
MYHAS	17	10383144	10623886
			
	15	74598919	74599397
			
ACSM5	16	20409534	20441336
			
	15	74613194	74615596
			
	17	10383132	10537862
			
RNU6-231P	15	85821855	85821957
			
MIR548AP	15	85825635	85825730
			
	15	85958717	85958971
			
MYH8	17	10390322	10421950
			
LINC01584	15	86078809	86116747
			
ETFRF1	12	25195216	25209645
			
	16	20440266	20447000
			
RNA5SP400	15	86138269	86138379
			
	15	86139838	86140240
			
	1	212624284	212626771
			
ACSM2A	16	20451461	20487669
			
	15	86173198	86173270
			
AGBL1-AS1	15	86295649	86317173
			
HES2	1	6412418	6424670
			
	15	86630266	86631136
			
	15	86932880	86946331
			
	15	86938797	86988426
			
AGBL1	15	86079871	87049169
			
	12	25210652	25211233
			
	12	25225103	25225665
			
	12	25385670	25386241
			
RNU4-67P	12	25404288	25404428
			
	12	25409293	25409445
			
SPI1	11	47354860	47378547
			
	12	25423600	25424942
			
	1	221549786	221550643
			
FAM133GP	12	25435581	25436238
			
TUBB4BP1	12	25440875	25441052
			
SHCBP1L	1	182899865	182953525
			
MANSC4	12	27762427	27780236
			
	12	70468080	70543040
			
	11	47381509	47409369
			
CPNE9	3	9703826	9729908
			
MYH4	17	10443290	10469559
			
TMOD2	15	51751597	51816363
			
	12	70570969	70571440
			
FAHD2P1	12	70671918	70672856
			
UNG	12	109097597	109110992
			
NAMPT	7	106248298	106285966
			
MIR4487	11	47400970	47401042
			
SLC39A13	11	47407132	47416496
			
	8	233119	233692
			
	8	234347	234887
			
	8	237045	237669
			
	8	264315	264672
			
	8	311133	331026
			
FAM87A	8	375931	384079
			
RPL23AP22	1	193756815	193757267
			
	1	202471864	202472117
			
	1	209528455	209567673
			
	8	22169338	22171708
			
DPYS	8	104330324	104467055
			
	1	200329161	200329677
			
TRAF3IP3	1	209756032	209782320
			
MYH1	17	10492307	10518542
			
	16	20487702	20489659
			
MMP25	16	3046062	3060726
			
DCSTAMP	8	104339087	104356689
			
MAPK6	15	51952106	52067375
			
	12	109111218	109125594
			
ACACB	12	109116595	109268226
			
C16orf92	16	30023198	30027736
			
	8	104419512	104421500
			
	8	104478539	104480783
			
MIR548A3	8	104484369	104484465
			
ZNF517	8	144798876	144811169
			
CAMK1	3	9757347	9769992
			
RNU6-269P	16	58378052	58378148
			
	16	58382989	58383798
			
RNU6-1110P	16	58384442	58384542
			
	16	58392153	58392807
			
LINC02137	16	58421326	58462470
			
MIR490	7	136903167	136903294
			
KRT8P51	7	136938280	136938553
			
CHRM2	7	136868652	137020255
			
RAPSN	11	47437764	47449143
			
PPP1R16A	8	144477969	144502121
			
	15	68184032	68229718
			
NDRG4	16	58462846	58513628
			
	2	127294212	127375075
			
	2	221572506	221574454
			
RAB6C	2	129979666	129982738
			
	2	159386367	159404636
			
	2	26298570	26306340
			
CLN6	15	68206992	68257211
			
	2	200086870	200100025
			
LINC01935	2	102967408	102984429
			
SMARCAL1-AS1	2	216385288	216412696
			
CATIP-AS2	2	218326889	218357966
			
MRPS27	5	72219403	72320646
			
RNU6-1272P	7	138876359	138876465
			
ZC3HAV1L	7	139025706	139036042
			
ARPC4-TTLL3	3	9793082	9835401
			
MYH2	17	10521148	10549700
			
ZC3HAV1	7	139043515	139132122
			
PPP1R7	2	241149576	241183652
			
CELF1	11	47465933	47565569
			
TTLL3	3	9808086	9855138
			
KLHL38	8	123644442	123653801
			
FAM110B	8	57994509	58204279
			
	7	139049456	139050006
			
SEPTIN11	4	76949751	77040384
			
